"","ID","US_200BPS","US_200SCLASS","count"
"228",1,1210,6,17
"229",1,1210,7,3
"230",1,1210,132,60
"231",1,1211,1,930
"232",1,1211,2,5888
"233",1,1211,3,8148
"234",1,1211,6,1228
"235",1,1211,7,125
"236",1,1211,120,460
"237",1,1212,120,96
"238",1,1213,1,158
"239",1,1213,2,226
"240",1,1213,3,271
"241",1,1213,7,29
"242",1,1213,120,24
"243",1,1213,132,61
"244",1,1214,1,864
"245",1,1214,2,3535
"246",1,1214,3,7351
"247",1,1214,7,45
"248",1,1214,120,123
"249",1,1214,132,514
"250",1,1215,1,3795
"251",1,1215,2,20225
"252",1,1215,7,401
"253",1,1215,120,787
"254",1,1215,132,158
"255",1,2704,1,111
"256",1,2704,2,79
"257",1,2704,3,1323
"258",1,2704,6,1370
"259",1,2704,7,1
"260",1,2704,132,786
"261",1,2705,1,2112
"262",1,2705,2,1560
"263",1,2705,3,7192
"264",1,2705,4,11729
"265",1,2705,5,12162
"266",1,2705,6,330
"267",1,2705,7,139
"268",1,2705,120,33
"269",1,2705,132,15197
"270",1,2714,2,52
"271",1,2714,3,26
"272",1,2714,6,33
"273",1,2714,132,191
"274",1,2715,1,530
"275",1,2715,2,1171
"276",1,2715,3,1330
"277",1,2715,4,5475
"278",1,2715,5,354
"279",1,2715,7,12
"280",1,2715,132,1882
"281",2,11,111,5839
"282",2,31,132,81558
"283",2,384,132,305
"284",2,395,1,4766
"285",2,395,2,467
"286",2,395,6,166
"287",2,395,7,107
"288",2,395,132,7686
"289",2,395,180,3
"290",2,398,2,31
"291",2,398,6,7
"292",2,398,7,3
"293",2,398,132,68
"294",2,399,2,250
"295",2,399,4,6
"296",2,403,1,17
"297",2,403,2,85
"298",2,403,3,599
"299",2,403,132,1667
"300",2,404,1,60017
"301",2,404,2,5216
"302",2,404,6,1
"303",2,404,7,62
"304",2,404,120,69
"305",2,404,132,40631
"306",2,405,132,11
"307",2,406,1,7
"308",2,406,2,98
"309",2,406,3,106
