"","ID","US_200BPS","US_220SCLASS","count"
"229",3,1207,1,518
"230",3,1207,2,1
"231",3,1207,3,1699
"232",3,1207,4,2792
"233",3,1207,5,15
"234",3,1207,7,88
"235",3,1207,132,10
"236",3,1209,1,217
"237",3,1209,2,7
"238",3,1209,3,518
"239",3,1209,7,11
"240",3,1209,132,10
"241",3,1210,1,15
"242",3,1210,2,48
"243",3,1210,3,13
"244",3,1210,4,97
"245",3,1210,7,1
"246",3,1211,1,32
"247",3,1211,2,57
"248",3,1211,3,763
"249",3,1211,6,1
"250",3,1211,7,7
"251",3,1213,1,1
"252",3,1213,2,2
"253",3,1213,3,1
"254",3,1214,1,287
"255",3,1214,2,1280
"256",3,1214,3,2412
"257",3,1214,7,38
"258",3,1214,120,6
"259",3,1214,132,14
"260",3,2705,1,116
"261",3,2705,2,1
"262",3,2705,3,121
"263",3,2705,4,64
"264",3,2705,5,27
"265",3,2705,7,4
"266",3,2705,132,54
"267",4,384,132,4
"268",4,1184,1,121
"269",4,1184,2,227
"270",4,1184,3,7
"271",4,1184,4,102
"272",4,1185,1,133
"273",4,1185,2,54
"274",4,1185,3,1
"275",4,1185,4,4
"276",4,1190,1,1139
"277",4,1190,2,8665
"278",4,1190,3,7529
"279",4,1190,4,937
"280",4,1190,5,24136
"281",4,1190,7,1
"282",4,1190,120,3
"283",4,1202,1,37
"284",4,1202,2,3
"285",4,1202,3,8
"286",4,1202,4,205
"287",4,1202,7,1
"288",4,1203,1,27
"289",4,1203,2,4
"290",4,1203,3,5
"291",4,1203,4,607
"292",4,1203,6,2
"293",4,1207,1,995
"294",4,1207,2,6
"295",4,1207,3,4914
"296",4,1207,4,4090
"297",4,1207,5,13
"298",4,1207,7,1
"299",4,1207,120,1
"300",4,1209,1,144
"301",4,1209,2,31
"302",4,1209,3,18145
"303",4,1209,6,6
"304",4,1209,7,4
"305",4,1209,132,171
"306",4,1210,2,75
"307",4,1210,3,10
"308",4,1210,4,224
"309",4,1211,1,3
"310",4,1211,2,21
"311",4,1211,3,2280
"312",4,1214,1,129
"313",4,1214,2,2263
"314",4,1214,3,1822
"315",4,1214,7,1
"316",4,1214,120,1
"317",4,1214,132,57
"318",4,2705,1,7
"319",4,2705,2,4
"320",4,2705,3,194
"321",4,2705,4,539
"322",4,2705,5,239
"323",5,11,111,2
"324",5,31,132,29
"325",5,384,132,2
"326",5,1182,1,202
"327",5,1182,2,35
"328",5,1182,3,298
"329",5,1182,4,724
"330",5,1182,5,43
"331",5,1184,1,37
"332",5,1184,2,1
"333",5,1185,1,1427
