"","ID","US_200BPS","US_200SCLASS","US_230SCLASS","count"
"1",1,11,111,111,1273
"2",1,31,132,132,59625
"3",1,384,132,132,1677
"4",1,395,1,1,463
"5",1,395,2,2,242
"6",1,395,6,6,2
"7",1,395,7,7,55
"8",1,395,132,132,595
"9",1,399,2,2,35
"10",1,399,3,3,1
"11",1,399,4,4,5
"12",1,399,132,132,39
"13",1,403,1,1,45
"14",1,403,2,2,10
"15",1,403,3,3,270
"16",1,403,3,7,1
"17",1,403,132,132,240
"18",1,404,1,1,9946
"19",1,404,1,7,1
"20",1,404,1,120,1
"21",1,404,2,2,1975
"22",1,404,2,7,2
"23",1,404,2,120,2
"24",1,404,7,7,41
"25",1,404,7,120,1
"26",1,404,132,132,12224
"27",1,405,1,1,14
"28",1,406,1,1,90
"29",1,406,2,2,45
"30",1,406,3,3,537
"31",1,406,6,6,240
"32",1,406,7,7,4
"33",1,406,132,132,370
"34",1,1111,132,132,25
"35",1,1112,132,132,265
"36",1,1114,1,1,2211
"37",1,1114,1,7,27
"38",1,1114,3,3,3670
"39",1,1114,4,4,1673
"40",1,1114,5,5,1
"41",1,1114,7,7,9
"42",1,1114,132,132,1003
"43",1,1116,132,132,3
"44",1,1117,2,2,4
"45",1,1117,6,1,9
"46",1,1117,132,132,17
"47",1,1120,1,1,263
"48",1,1120,3,3,396
"49",1,1120,4,4,12
"50",1,1120,132,132,170
"51",1,1124,1,1,1265
"52",1,1124,1,7,466
"53",1,1124,2,2,1209
"54",1,1124,3,3,25806
"55",1,1124,3,120,1
"56",1,1124,7,7,151
"57",1,1124,132,132,19
"58",1,1128,1,1,33
"59",1,1128,1,7,2
"60",1,1128,2,2,4092
"61",1,1128,2,120,1
"62",1,1128,3,3,8320
"63",1,1128,6,6,5598
"64",1,1128,6,180,1
"65",1,1128,7,7,184
"66",1,1128,132,132,7914
"67",1,1129,2,2,27
"68",1,1130,2,2,293
"69",1,1130,3,3,58
"70",1,1130,4,4,4
"71",1,1130,5,5,1
"72",1,1130,7,7,1
"73",1,1130,132,132,756
"74",1,1131,1,1,240
"75",1,1131,2,2,15
"76",1,1131,5,5,107
"77",1,1131,7,7,3
"78",1,1131,132,132,802
"79",1,1132,1,1,37
"80",1,1132,4,4,21
"81",1,1132,132,132,27
"82",1,1133,3,3,26
"83",1,1133,4,4,1
"84",1,1133,132,132,36
"85",1,1135,1,1,6149
"86",1,1135,1,7,654
"87",1,1135,2,2,70
"88",1,1135,3,3,3918
"89",1,1135,4,4,20
"90",1,1135,5,5,18
"91",1,1135,7,7,32
"92",1,1135,132,132,2
"93",1,1139,2,2,129
"94",1,1139,3,3,220
"95",1,1139,132,132,44
"96",1,1140,1,1,2
"97",1,1140,3,3,16
"98",1,1140,4,4,15
"99",1,1140,132,132,276
"100",1,1143,1,1,170
"101",1,1143,1,7,69
"102",1,1143,2,2,2218
"103",1,1143,7,7,22
"104",1,1143,132,132,95
"105",1,1180,132,132,3590
"106",1,1181,1,1,22
"107",1,1181,2,1,2
"108",1,1181,2,2,13
"109",1,1181,3,1,1
"110",1,1181,3,3,59
"111",1,1181,7,7,2
"112",1,1181,132,132,63
"113",1,1182,1,1,17063
"114",1,1182,1,7,260
"115",1,1182,1,120,3
"116",1,1182,2,2,1358
"117",1,1182,2,3,5
"118",1,1182,2,120,2
"119",1,1182,3,1,1
"120",1,1182,3,3,21881
"121",1,1182,3,4,2
"122",1,1182,3,7,4
"123",1,1182,3,120,12
"124",1,1182,4,1,20
"125",1,1182,4,4,31775
"126",1,1182,4,7,2
"127",1,1182,4,120,10
"128",1,1182,5,1,28
"129",1,1182,5,4,177
"130",1,1182,5,5,6168
"131",1,1182,7,7,322
"132",1,1182,120,120,169
"133",1,1182,132,132,76179
"134",1,1183,1,1,59
"135",1,1183,2,2,58
"136",1,1183,3,3,395
"137",1,1183,4,4,270
"138",1,1183,132,132,727
"139",1,1184,1,1,412
"140",1,1184,1,7,4
"141",1,1184,2,2,928
"142",1,1184,2,3,2
"143",1,1184,3,3,165
"144",1,1184,4,2,5
"145",1,1184,4,3,1
"146",1,1184,4,4,161
"147",1,1184,7,7,4
"148",1,1184,132,132,4
"149",1,1185,1,1,483
"150",1,1185,2,2,183
"151",1,1185,3,3,28
"152",1,1185,4,4,484
"153",1,1185,132,132,984
