"","ID","US_200BPS","US_200SCLASS","US_230SCLASS","count"
"154",1,1186,1,1,134
"155",1,1186,2,2,611
"156",1,1186,3,3,714
"157",1,1186,6,1,51
"158",1,1186,6,7,1
"159",1,1186,132,132,947
"160",1,1188,1,1,3301
"161",1,1188,1,7,143
"162",1,1188,1,120,5
"163",1,1188,2,1,59
"164",1,1188,2,2,1644
"165",1,1188,2,3,45
"166",1,1188,2,4,58
"167",1,1188,2,5,68
"168",1,1188,3,1,30
"169",1,1188,3,3,2419
"170",1,1188,3,4,3
"171",1,1188,3,120,2
"172",1,1188,4,1,46
"173",1,1188,4,3,12
"174",1,1188,4,4,3462
"175",1,1188,4,7,2
"176",1,1188,4,120,13
"177",1,1188,5,1,510
"178",1,1188,5,3,1
"179",1,1188,5,4,691
"180",1,1188,5,5,23790
"181",1,1188,5,7,2
"182",1,1188,5,120,17
"183",1,1188,7,7,87
"184",1,1188,120,120,111
"185",1,1188,132,132,2150
"186",1,1189,1,1,7240
"187",1,1189,1,3,1
"188",1,1189,1,7,177
"189",1,1189,1,120,9
"190",1,1189,2,1,1009
"191",1,1189,2,2,50316
"192",1,1189,2,3,746
"193",1,1189,2,7,5
"194",1,1189,2,120,24
"195",1,1189,3,1,20
"196",1,1189,3,3,3914
"197",1,1189,3,7,2
"198",1,1189,3,120,12
"199",1,1189,7,2,3
"200",1,1189,7,3,1
"201",1,1189,7,7,172
"202",1,1189,7,120,2
"203",1,1189,120,120,152
"204",1,1189,132,132,1054
"205",1,1190,1,1,15697
"206",1,1190,1,7,667
"207",1,1190,1,120,33
"208",1,1190,2,1,649
"209",1,1190,2,2,25388
"210",1,1190,2,3,2579
"211",1,1190,2,4,33
"212",1,1190,2,5,569
"213",1,1190,2,7,16
"214",1,1190,2,120,49
"215",1,1190,3,1,115
"216",1,1190,3,2,4
"217",1,1190,3,3,36609
"218",1,1190,3,6,9
"219",1,1190,3,7,75
"220",1,1190,3,120,149
"221",1,1190,4,1,101
"222",1,1190,4,4,7093
"223",1,1190,4,6,1
"224",1,1190,4,7,13
"225",1,1190,4,120,22
"226",1,1190,5,1,3601
"227",1,1190,5,3,205
"228",1,1190,5,4,903
"229",1,1190,5,5,84829
"230",1,1190,5,6,7
"231",1,1190,5,7,76
"232",1,1190,5,120,98
"233",1,1190,6,1,90
"234",1,1190,6,2,16
"235",1,1190,6,3,2
"236",1,1190,6,5,394
"237",1,1190,6,6,2529
"238",1,1190,6,120,2
"239",1,1190,7,2,2
"240",1,1190,7,3,6
"241",1,1190,7,4,7
"242",1,1190,7,5,58
"243",1,1190,7,7,589
"244",1,1190,7,120,20
"245",1,1190,120,120,2605
"246",1,1190,132,132,9301
"247",1,1191,1,1,23722
"248",1,1191,1,3,44
"249",1,1191,1,7,460
"250",1,1191,1,120,161
"251",1,1191,2,1,50
"252",1,1191,2,2,8288
"253",1,1191,2,3,315
"254",1,1191,2,4,132
"255",1,1191,2,5,382
"256",1,1191,2,120,6
"257",1,1191,3,1,45
"258",1,1191,3,2,4
"259",1,1191,3,3,18124
"260",1,1191,3,4,108
"261",1,1191,3,7,4
"262",1,1191,3,120,56
"263",1,1191,4,1,353
"264",1,1191,4,3,32
"265",1,1191,4,4,120584
"266",1,1191,4,120,208
"267",1,1191,5,1,872
"268",1,1191,5,3,110
"269",1,1191,5,4,18900
"270",1,1191,5,5,147603
"271",1,1191,5,120,185
"272",1,1191,7,7,143
"273",1,1191,120,120,1279
"274",1,1191,132,132,740
"275",1,1192,2,2,1
"276",1,1192,5,5,6
"277",1,1193,1,1,10823
"278",1,1193,1,4,9
"279",1,1193,1,7,721
"280",1,1193,1,120,18
"281",1,1193,2,1,90
"282",1,1193,2,2,2883
"283",1,1193,2,3,88
"284",1,1193,2,4,173
"285",1,1193,2,120,1
"286",1,1193,3,1,554
"287",1,1193,3,3,71521
"288",1,1193,3,4,1336
"289",1,1193,3,7,11
"290",1,1193,3,120,43
"291",1,1193,4,1,133
"292",1,1193,4,4,20536
"293",1,1193,4,7,8
"294",1,1193,4,120,31
"295",1,1193,7,3,2
"296",1,1193,7,4,4
"297",1,1193,7,7,483
"298",1,1193,120,120,595
"299",1,1193,132,132,604
"300",1,1196,1,1,57
"301",1,1196,2,2,1201
"302",1,1196,3,3,5309
"303",1,1196,3,7,4
"304",1,1196,6,6,3929
"305",1,1196,6,7,10
"306",1,1196,6,120,2
"307",1,1196,7,7,24
"308",1,1196,132,132,3775
"309",1,1197,1,1,29235
"310",1,1197,1,120,2
"311",1,1197,2,2,5987
"312",1,1197,2,7,2
"313",1,1197,2,120,3
"314",1,1197,6,6,612
"315",1,1197,6,120,1
"316",1,1197,7,7,274
"317",1,1197,7,120,1
"318",1,1197,132,132,16190
"319",1,1198,1,1,14
"320",1,1198,2,2,15100
"321",1,1198,6,6,1763
"322",1,1198,7,7,47
"323",1,1198,7,120,1
"324",1,1198,132,132,3466
"325",1,1199,1,1,5
"326",1,1199,2,2,610
"327",1,1199,6,6,176
"328",1,1199,132,132,324
"329",1,1201,2,2,183
"330",1,1201,3,3,139
"331",1,1201,4,4,29
"332",1,1201,132,132,221
"333",1,1202,1,1,356
"334",1,1202,1,7,9
"335",1,1202,2,2,3770
"336",1,1202,3,1,2
"337",1,1202,3,3,220
"338",1,1202,4,1,2
"339",1,1202,4,4,2627
"340",1,1202,6,4,4
"341",1,1202,6,6,66
"342",1,1202,7,7,23
"343",1,1202,120,120,3
"344",1,1202,132,132,5900
"345",1,1203,1,1,1035
"346",1,1203,1,7,1
"347",1,1203,1,120,2
"348",1,1203,2,1,7
"349",1,1203,2,2,145
"350",1,1203,3,1,22
"351",1,1203,3,3,321
"352",1,1203,4,1,72
"353",1,1203,4,4,8570
"354",1,1203,4,7,3
"355",1,1203,4,120,3
"356",1,1203,6,1,2
"357",1,1203,6,4,3
"358",1,1203,6,6,172
"359",1,1203,7,7,79
"360",1,1203,120,120,61
"361",1,1203,132,132,3222
"362",1,1204,2,2,45
"363",1,1204,3,3,5
"364",1,1206,1,1,109
"365",1,1206,2,2,50
"366",1,1206,132,132,175
"367",1,1207,1,1,1324
"368",1,1207,1,7,9
"369",1,1207,2,2,61
"370",1,1207,2,4,2
"371",1,1207,3,3,809
"372",1,1207,3,4,2
"373",1,1207,4,4,502
"374",1,1207,5,4,14
"375",1,1207,5,5,132
"376",1,1207,7,7,5
"377",1,1207,132,132,41
"378",1,1209,1,1,161
"379",1,1209,2,1,1
"380",1,1209,2,2,107
"381",1,1209,3,1,1
"382",1,1209,3,3,2075
"383",1,1209,3,7,1
"384",1,1209,6,6,1
"385",1,1209,7,7,9
"386",1,1209,132,132,2141
"387",1,1210,1,1,2
"388",1,1210,2,2,15
"389",1,1210,2,7,2
"390",1,1210,3,2,1
"391",1,1210,3,3,34
"392",1,1210,4,4,126
"393",1,1210,6,6,17
"394",1,1210,7,7,3
"395",1,1210,132,132,60
"396",1,1211,1,1,883
"397",1,1211,1,2,25
"398",1,1211,1,7,8
"399",1,1211,1,120,14
"400",1,1211,2,2,5828
"401",1,1211,2,7,10
"402",1,1211,2,120,50
"403",1,1211,3,2,98
"404",1,1211,3,3,7973
"405",1,1211,3,7,4
"406",1,1211,3,120,73
"407",1,1211,6,2,3
"408",1,1211,6,3,54
"409",1,1211,6,6,1168
"410",1,1211,6,120,3
"411",1,1211,7,7,125
"412",1,1211,120,120,460
"413",1,1212,120,120,96
"414",1,1213,1,1,158
"415",1,1213,2,2,225
"416",1,1213,2,120,1
"417",1,1213,3,3,271
"418",1,1213,7,7,29
"419",1,1213,120,120,24
"420",1,1213,132,132,61
"421",1,1214,1,1,700
"422",1,1214,1,7,162
"423",1,1214,1,120,2
"424",1,1214,2,1,17
"425",1,1214,2,2,3456
"426",1,1214,2,3,44
"427",1,1214,2,120,18
"428",1,1214,3,1,203
"429",1,1214,3,2,11
"430",1,1214,3,3,7125
"431",1,1214,3,120,12
"432",1,1214,7,7,45
"433",1,1214,120,120,123
"434",1,1214,132,132,514
"435",1,1215,1,1,3725
"436",1,1215,1,7,14
"437",1,1215,1,120,56
"438",1,1215,2,1,155
"439",1,1215,2,2,19915
"440",1,1215,2,7,6
"441",1,1215,2,120,149
"442",1,1215,7,7,401
"443",1,1215,120,120,787
"444",1,1215,132,132,158
"445",1,2704,1,1,111
"446",1,2704,2,2,79
"447",1,2704,3,3,1322
"448",1,2704,3,7,1
"449",1,2704,6,6,1364
"450",1,2704,6,7,5
"451",1,2704,6,120,1
"452",1,2704,7,7,1
"453",1,2704,132,132,786
"454",1,2705,1,1,1790
"455",1,2705,1,7,318
"456",1,2705,1,120,4
"457",1,2705,2,2,1560
"458",1,2705,3,1,11
"459",1,2705,3,2,3
"460",1,2705,3,3,7166
"461",1,2705,3,7,7
"462",1,2705,3,120,5
"463",1,2705,4,1,1
"464",1,2705,4,4,11704
"465",1,2705,4,7,14
"466",1,2705,4,120,10
"467",1,2705,5,1,83
"468",1,2705,5,3,2
"469",1,2705,5,4,208
"470",1,2705,5,5,11856
"471",1,2705,5,7,12
"472",1,2705,5,120,1
"473",1,2705,6,1,29
"474",1,2705,6,5,30
"475",1,2705,6,6,271
"476",1,2705,7,7,139
"477",1,2705,120,120,33
"478",1,2705,132,132,15197
"479",1,2714,2,2,52
"480",1,2714,3,3,26
"481",1,2714,6,6,33
"482",1,2714,132,132,191
"483",1,2715,1,1,269
"484",1,2715,1,7,261
"485",1,2715,2,2,1171
"486",1,2715,3,3,1330
"487",1,2715,4,4,5475
"488",1,2715,5,5,354
"489",1,2715,7,7,12
"490",1,2715,132,132,1882
