"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"437","Wind or Weather or Stress","11160_24",0.0050234,"Madrean Juniper Savanna",46,0.560784314,4,0,0.0200936
"438","Wind or Weather or Stress","11250_6_12_13_15_16_17_18_23_24_25_28",0.0053724,"Inter-Mountain Basins Big Sagebrush Steppe",31,0.874509804,180,0,0.967032
"439","Wind or Weather or Stress","11270_15",0.1009868,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",5,0.843137255,72451,3.3,7316.5946468
"440","Wind or Weather or Stress","11270_16_23_24_25",0.099726,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",21,0.843137255,7269,0.3,724.908294
"441","Wind or Weather or Stress","11350_15_28",0.021711,"Inter-Mountain Basins Semi-Desert Grassland",14,0.82745098,16463,0.8,357.428193
"442","Wind or Weather or Stress","11350_16_23_24",0.0198358,"Inter-Mountain Basins Semi-Desert Grassland",24,0.82745098,3901,0.2,77.3794558
"443","Wind or Weather or Stress","11530_16_23_24_25_27",0.0136052,"Inter-Mountain Basins Greasewood Flat",49,0.882352941,8,0,0.1088416
"444","Wind or Weather or Stress","11550_15",0.0491372,"North American Warm Desert Riparian Systems",64,0.458823529,40,0,1.965488
"445","Wind or Weather or Stress","11552_13_14_15",0.1196522,"North American Warm Desert Riparian Systems - Stringers",29,0.458823529,1642,0.1,196.4689124
"446","Wind or Weather or Stress","11590_15",0.1506916,"Rocky Mountain Montane Riparian Systems",4,0.364705882,126933,5.8,19127.7368628
"447","Wind or Weather or Stress","11590_16_23_24_26",0.3211198,"Rocky Mountain Montane Riparian Systems",50,0.364705882,589,0,189.1395622
"448","Wind or Weather or Stress","11600_15_28",0.3151316,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",65,0.654901961,584,0,184.0368544
