"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1190,7915711,10540,15,"10540_15_25","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",396,108,10,9,2,9,89,"I-B",168,56,0,0.658824,0.219608,0,1760412,23.7
"2",1202,3295547,11040,15,"11040_15","Mogollon Chaparral","Shrubland",80,-9999,2171,77,96,-9999,4,"IV-A",173,250,211,0.678431,0.980392,0.827451,732912,9.8
"3",1128,2766781,10810,24,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,-9999,-9999,616,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,615317,8.3
"4",1209,2738701,11270,15,"11270_15","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",118,-9999,-9999,118,100,-9999,-9999,"IV-B",194,158,215,0.760784,0.619608,0.843137,609072,8.2
"5",1184,1553524,10230,15,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654902,0.517647,345495,4.6
"6",1185,1464010,10240,15,"10240_14_15_24","Madrean Lower Montane Pine-Oak Forest and Woodland","Conifer",125,191,33,23,19,12,69,"I-C",167,189,30,0.654902,0.741176,0.117647,325588,4.4
"7",1207,1383176,11170,15,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,-9999,11,11,3,-9999,97,"I-B",255,85,0,1,0.333333,0,307611,4.1
"8",1139,1351120,11270,24,"11270_16_23_24_25","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",105,-9999,-9999,105,100,-9999,-9999,"IV-B",194,158,215,0.760784,0.619608,0.843137,300482,4
"9",1186,1207333,10250,15,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.627451,0.415686,0.121569,268504,3.6
"10",2705,1089212,10804,15,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,-9999,-9999,120,100,-9999,-9999,"IV-B",255,190,232,1,0.745098,0.909804,242235,3.3
"11",1214,1040370,11590,15,"11590_15","Rocky Mountain Montane Riparian Systems","Riparian",54,-9999,8,7,12,-9999,88,"I-B",123,124,93,0.482353,0.486275,0.364706,231373,3.1
"12",1140,971360,11350,24,"11350_16_23_24","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,-9999,-9999,25,100,-9999,-9999,"II-C",185,174,211,0.72549,0.682353,0.827451,216025,2.9
"13",1124,640042,10640,24,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,-9999,79,33,67,-9999,"III-A",158,170,215,0.619608,0.666667,0.843137,142342,1.9
"14",1182,536138,10160,15,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803922,0.666667,0.4,119234,1.6
"15",1191,400982,10550,15,"10550_15_28","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",211,255,190,0.827451,1,0.745098,89176,1.2
"16",1199,331460,10910,15,"10910_15","Sonoran Mid-Elevation Desert Scrub","Shrubland",355,-9999,-9999,355,100,-9999,-9999,"V-A",176,6,99,0.690196,0.023529,0.388235,73715,1
"17",1210,317281,11350,15,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,-9999,25,33,67,-9999,"I-C",185,174,211,0.72549,0.682353,0.827451,70562,0.9
"18",1203,272396,11070,15,"11070_15","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,174,-9999,39,78,22,-9999,"III-A",115,255,223,0.45098,1,0.87451,60579,0.8
"19",1211,275075,11460,15,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,-9999,21,10,52,-9999,48,"I-B",167,205,178,0.654902,0.803922,0.698039,61175,0.8
"20",2715,253137,10804,24,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,-9999,-9999,120,100,-9999,-9999,"IV-B",255,190,232,1,0.745098,0.909804,56296,0.8
"21",31,235707,31,0,"0","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902,52420,0.7
"22",1193,229774,10610,15,"10610_15_25","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",43,20,110,12,28,61,11,"I-B",230,230,0,0.901961,0.901961,0,51101,0.7
"23",395,185775,10820,24,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,-9999,-9999,815,100,-9999,-9999,"V-B",216,6,73,0.847059,0.023529,0.286275,41315,0.6
"24",1120,194927,10540,24,"10540_16_23_24","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",280,226,20,17,6,8,86,"I-C",168,56,0,0.658824,0.219608,0,43351,0.6
"25",1131,208338,11040,24,"11040_23_24","Mogollon Chaparral","Shrubland",47,370,-9999,42,89,11,-9999,"IV-A",173,250,211,0.678431,0.980392,0.827451,46333,0.6
"26",1143,214361,11590,24,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,47673,0.6
"27",1188,159653,10510,15,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098,0.823529,1,35506,0.5
"28",1204,173172,11090,15,"11090_15_25","Sonoran Paloverde-Mixed Cacti Desert Scrub","Shrubland",1049,-9999,-9999,1049,100,-9999,-9999,"V-B",233,214,245,0.913725,0.839216,0.960784,38513,0.5
"29",1208,156911,11210,15,"11210_15","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",10,-9999,40,8,80,-9999,20,"II-B",255,221,216,1,0.866667,0.847059,34896,0.5
"30",1213,165251,11552,15,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,-9999,-9999,735,100,-9999,-9999,"V-B",84,160,117,0.329412,0.627451,0.458824,36751,0.5
