"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1190,5742725,10540,15,"10540_15_25","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",396,108,10,9,2,9,89,"I-B",168,56,0,0.658824,0.219608,0,1277151,58.4
"2",1207,831872,11170,15,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,-9999,11,11,3,-9999,97,"I-B",255,85,0,1,0.333333,0,185004,8.5
"3",1185,635588,10240,15,"10240_14_15_24","Madrean Lower Montane Pine-Oak Forest and Woodland","Conifer",125,191,33,23,19,12,69,"I-C",167,189,30,0.654902,0.741176,0.117647,141351,6.5
"4",1214,570754,11590,15,"11590_15","Rocky Mountain Montane Riparian Systems","Riparian",54,-9999,8,7,12,-9999,88,"I-B",123,124,93,0.482353,0.486275,0.364706,126933,5.8
"5",1209,325778,11270,15,"11270_15","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",118,-9999,-9999,118,100,-9999,-9999,"IV-B",194,158,215,0.760784,0.619608,0.843137,72451,3.3
"6",1184,275148,10230,15,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654902,0.517647,61191,2.8
"7",1211,227380,11460,15,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,-9999,21,10,52,-9999,48,"I-B",167,205,178,0.654902,0.803922,0.698039,50568,2.3
"8",1203,162899,11070,15,"11070_15","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,174,-9999,39,78,22,-9999,"III-A",115,255,223,0.45098,1,0.87451,36228,1.7
"9",1120,136152,10540,24,"10540_16_23_24","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",280,226,20,17,6,8,86,"I-C",168,56,0,0.658824,0.219608,0,30279,1.4
"10",1186,141427,10250,15,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.627451,0.415686,0.121569,31453,1.4
"11",1202,123534,11040,15,"11040_15","Mogollon Chaparral","Shrubland",80,-9999,2171,77,96,-9999,4,"IV-A",173,250,211,0.678431,0.980392,0.827451,27473,1.3
"12",1188,97689,10510,15,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098,0.823529,1,21726,1
